Codigo,Titulo,Cliente,DataAbertura,DataEncerramento,Modulo
1000001,Proporcionar suporte técnico,IT Solutions,01/01/2022,01/02/2022,Suporte Técnico
1000002,Reestruturação de equipe,HR Services,15/01/2022,15/02/2022,RH
1000003,Aprimoramento de software,Dev Corp,20/01/2022,20/02/2022,Desenvolvimento
1000004,Implementação de segurança,SecuTech,05/02/2022,05/03/2022,Segurança
1000005,Planejamento de marketing,Market Masters,10/02/2022,10/03/2022,Marketing
1000006,Análise de dados,Data Insights,25/02/2022,25/03/2022,Análise
1000007,Consultoria financeira,Finance Experts,30/03/2022,30/04/2022,Financeiro
1000008,Desenvolvimento de produto,Innovatech,05/04/2022,05/05/2022,Desenvolvimento
1000009,Gestão de projetos,Project Pro,12/04/2022,12/05/2022,Gestão de Projetos
1000010,Suporte ao cliente,HelpDesk Co.,19/04/2022,19/05/2022,Suporte Técnico
1000011,Planejamento de eventos,Event Organizers,01/05/2022,01/06/2022,Eventos
1000012,Gestão de redes sociais,SocMed Agency,15/05/2022,15/06/2022,Marketing
1000013,Desenvolvimento de website,Web Creators,20/05/2022,20/06/2022,Desenvolvimento
1000014,Auditoria interna,Audit Masters,25/05/2022,25/06/2022,Auditoria
1000015,Melhorias operacionais,Ops Consulting,30/05/2022,30/06/2022,Operações
